epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
58,209.863,1.217,0.67555,0.40323,0.64505,0.01789,3.24774,0.90969,0.96552,0.97743,0.59064,0.90969,0.96552,0.97743,0.85839,1.43142,0.42901,0.0612,0.53518,0.02094,0,0.00188714,0.00188714,0.00188714
59,213.546,1.2011,0.57544,0.33766,0.69836,0.01799,2.91259,0.86089,0.93103,0.95479,0.58509,0.84414,0.91379,0.92235,0.79299,1.38978,0.60477,0.07529,0.56875,0.02112,0,0.00188516,0.00188516,0.00188516
60,217.238,1.19221,0.60184,0.35844,0.63864,0.01705,2.72817,0.97407,0.89655,0.97155,0.51861,0.97407,0.89655,0.97155,0.90286,1.74441,0.33994,0.06884,0.61281,0.02721,0,0.00188318,0.00188318,0.00188318
61,220.895,1.18853,0.51417,0.34391,0.63176,0.01734,2.44371,0.96031,0.96552,0.98921,0.63624,0.96031,0.96552,0.98921,0.95767,1.27357,0.27639,0.07191,0.4955,0.01856,0,0.0018812,0.0018812,0.0018812
62,224.514,1.17578,0.45747,0.33606,0.60568,0.01796,2.38885,0.94611,0.96552,0.98806,0.63494,0.94611,0.96552,0.98806,0.94435,1.29839,0.26856,0.08306,0.49708,0.01921,0,0.00187922,0.00187922,0.00187922
63,228.101,1.17371,0.50097,0.32822,0.59038,0.01631,2.29531,0.90027,0.89655,0.96967,0.54178,0.90027,0.89655,0.96967,0.8895,1.55511,0.33927,0.06952,0.6002,0.02305,0,0.00187724,0.00187724,0.00187724
64,231.797,1.15874,0.44896,0.33176,0.6653,0.0174,2.26256,0.96486,0.82759,0.96323,0.61002,0.96486,0.82759,0.96323,0.92673,1.30421,0.25643,0.06916,0.51512,0.01927,0,0.00187526,0.00187526,0.00187526
65,235.374,1.15206,0.39618,0.34512,0.61328,0.01654,1.93923,0.89536,0.82759,0.94859,0.37591,0.89536,0.82759,0.94859,0.90951,2.05429,0.27532,0.06496,0.77979,0.03417,0,0.00187328,0.00187328,0.00187328
66,238.94,1.14675,0.38241,0.34807,0.57393,0.01682,1.71081,0.77561,0.91379,0.93692,0.49748,0.77561,0.91379,0.93692,0.92409,1.58208,0.17334,0.07432,0.63584,0.02576,0,0.0018713,0.0018713,0.0018713
67,242.604,1.12063,0.41974,0.32624,0.61731,0.01639,1.79085,0.8649,0.87931,0.942,0.56363,0.8649,0.87931,0.942,0.9034,1.37007,0.23216,0.08488,0.64649,0.02072,0,0.00186932,0.00186932,0.00186932
